jid,id,groups,title,description,audit,remediation,references
1.1.1,1.1,主机配置,确保已创建容器的单独分区（Scored）,所有的Docker容器及其数据和元数据都存储在/var/lib/docker目录下。默认情况下，/var/lib/docker目录会根据可用性挂载在/或/var分区下。,在Docker主机上执行以下命令：`grep/var/lib/Docker/etc/fstab `这应该返回/var/lib/Docker挂载点的分区详细信息。,对于新的安装，为/var/lib/docker挂载点创建一个单独的分区。对于先前安装的系统，请使用逻辑卷管理器（LVM）创建分区。,https://www.projectatomic.io/docs/docker-storage-recommendation/
1.2.1,1.2,主机配置,确保容器主机已经加固（Not Scored）,容器运行在Linux主机上。一个容器主机可以运行一个或多个容器。非常重要的是对主机进行加固，以减轻主机安全配置不当所带来的风险。,确保遵守特定于主机的安全准则。询问系统管理员当前主机系统符合哪个安全基准。确保主机系统实际符合特定于主机的安全基准。,您可以考虑为容器主机选择各种CIS安全基准。如果您还需要遵守其他安全指南或监管要求，请根据您的环境选择适当的方案。此外，您可以运行带有grsecurity和PaX的内核。这将添加许多安全检查，包括编译时和运行时。它还旨在打败许多攻击，具有强大的安全功能。这些功能不需要特定于Docker的配置，因为这些安全功能适用于系统范围，而独立于容器。,"https://docs.docker.com/engine/security/security/,https://learn.cisecurity.org/benchmarks,https://docs.docker.com/engine/security/security/#other-kernel-security-features,https://grsecurity.net/,https://en.wikibooks.org/wiki/Grsecurity,https://pax.grsecurity.net/,http://en.wikipedia.org/wiki/PaX"
1.2.2,1.3,主机配置,确保 Docker 已经是最新版本（Not Scored）,Docker软件经常发布更新，修复安全漏洞和产品漏洞，并引入新的功能。请关注这些产品更新，并及时升级，以确保您的组织能够修复新的安全漏洞或采用适当的修复方案。,执行下面的命令，并验证Docker版本是否根据需要是最新的。使用最新版本并不是强制的。,跟踪 Docker 发布情况，并根据需要进行更新。,"https://docs.docker.com/engine/installation/,https://github.com/moby/moby/releases/latest,https://github.com/docker/docker-ce/releases/latest"
1.1.2,1.4,主机配置,确保只有受信任的用户可以控制Docker守护程序（Scored）,Docker守护进程目前需要root权限。将用户添加到docker组中，将赋予他完全的root访问权限。,在docker主机上执行以下命令，并确保只有受信任的用户是docker组的成员：`getent group docker`,请移除不信任的用户从docker用户组中。此外，不要将主机上敏感目录与容器卷进行映射。,"https://docs.docker.com/engine/security/security/#docker-daemon-attack-surface,https://www.andreas-jung.com/contents/on-docker-security-docker-group-considered-harmful,http://www.projectatomic.io/blog/2015/08/why-we-dont-let-non-root-users-run-docker-in-centos-fedora-or-rhel/"
1.1.3,1.5,主机配置,确保为 Docker 守护程序配置了审计功能（Scored）,审计所有Docker守护进程的行为。,验证是否存在针对Docker守护进程的审核规则。例如，执行以下命令：`auditctl -l | grep /usr/bin/docker `。这应该列出Docker守护进程的规则。,添加一个Docker守护程序的规则。例如，在/etc/audit/audit.rules文件中添加以下规则： - w /usr/bin/docker -k docker，然后重新启动audit守护程序。例如，service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
1.1.5,1.6,主机配置,确保为Docker文件和目录 - /var/lib/docker 配置审计（Scored）,审计 /var/lib/docker。,验证是否有对应于/var/lib/docker目录的审核规则。例如，执行以下命令：`auditctl -l | grep /var/lib/docker`。这应该列出/var/lib/docker目录的规则。,需要为/var/lib/docker目录添加规则。例如，在/etc/audit/audit.rules文件中添加以下行： -w /var/lib/docker -k docker，然后重新启动audit守护程序。例如：service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
1.1.6,1.7,主机配置,确保已配置Docker文件和目录的审计- /etc/docker（Scored）,审计 /etc/docker。,验证是否有对应于/etc/docker目录的审核规则。例如，执行以下命令：`auditctl -l | grep /etc/doker`。这应该列出/etc/docker目录的规则。,为/etc/docker目录添加一个规则。例如，在/etc/audit/audit.rules文件中添加以下行：-w /etc/docker -k docker，然后重新启动audit守护进程。例如，service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
1.1.7,1.8,主机配置,确保为Docker文件和目录配置了审计 - docker.service（Scored）,若文件存在，请审计docker.service。,步骤1：查找文件位置：`systemctl show -p FragmentPath docker.service`，步骤2：如果文件不存在，则此建议不适用。如果文件存在，请验证是否有对应于该文件的审核规则：例如，执行以下命令：`auditctl -l | grep docker.service`，这应该根据docker.server的位置列出一个规则。,如果文件已存在，为其添加一条规则。例如，在/etc/audit/audit.rules文件中添加以下行：-w /usr/lib/systemd/system/docker.service -k docker，然后重新启动audit守护程序。例如，service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
1.1.9,1.9,主机配置,确保针对Docker文件和目录配置审计 - docker.socket（Scored）,若文件存在， 审计 docker.socket。,步骤1：查找文件位置：systemctl show -p FragmentPath dockersocket 步骤2：如果文件不存在，则此建议不适用。如果该文件存在，请验证是否有对应于该文件的审核规则：例如，执行以下命令：auditctl -l |grep docker.socket。这应该根据dockersocket的位置列出一个规则。,如果该文件存在，则为其添加规则。例如，在/etc/audit/audit.rules文件中添加以下行：- w /usr/lib/systemd/system/docker.socket -k docker，然后重新启动audit守护进程。例如，service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
1.1.10,1.1,主机配置,确保为Docker文件和目录配置审计 - /etc/default/docker（Scored）,若文件存在，审计/etc/default/docker。,验证是否有对应于/etc/default/docker文件的审核规则。例如，执行以下命令：`auditctl -l | grep /etc/default/docker` 这应该列出 /etc/default/docker 文件的规则。,请为 /etc/default/docker 文件添加一条规则。例如，在 /etc/audit/audit.rules 文件中添加以下行：-w /etc/default/docker -k docker 然后重新启动audit程序。例如，使用命令 service auditd restart。,https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
